Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
A1_3	25532745.0	298.0	24260233.0	95.02	296.45	29060520.0	28732999.0	28809214.0	190413.0	22773.0	38120.0	0.2	0.01	2.0	0.01	1.54	716885.0	2.81	5754.0	0.02	0.0	2.13	0.02	0	544758	5115
AG11	86122672.0	292.0	82863580.0	96.22	291.16	84012683.0	83187877.0	83144435.0	677631.0	58232.0	132385.0	0.35	0.01	1.8	0.01	1.67	2073350.0	2.41	15007.0	0.02	0.0	1.33	0.03	0	1144910	25825
AG12	92470556.0	292.0	88813341.0	96.04	291.13	94170708.0	93201049.0	93186437.0	770079.0	64622.0	149570.0	0.37	0.01	1.82	0.01	1.7	2173823.0	2.35	17303.0	0.02	0.0	1.55	0.03	0	1438252	27837
AG1-seq	61398091.0	151.0	57033818.0	92.89	150.75	29656176.0	29397477.0	29365526.0	228048.0	19385.0	43217.0	0.3	0.0	2.0	0.01	1.26	2444686.0	3.98	33907.0	0.06	0.0	3.04	0.04	0	1861191	24489
B108_CSE1-seq	26426012.0	295.0	20545886.0	77.75	289.56	21757217.0	21577207.0	21524875.0	176880.0	18707.0	36755.0	0.17	0.01	1.78	0.01	1.52	1137856.0	4.31	9043.0	0.03	0.0	17.88	0.03	0	4725299	7928
B109_CSE1-seq	32871268.0	298.0	27054202.0	82.3	294.7	28525759.0	28280010.0	28229491.0	225745.0	24068.0	46455.0	0.17	0.01	1.79	0.01	1.57	837533.0	2.55	6512.0	0.02	0.0	15.08	0.05	0	4956587	16434
B125_CSE1-seq	24426172.0	295.0	18866534.0	77.24	289.71	19297337.0	19127463.0	19088442.0	156457.0	16458.0	35980.0	0.18	0.01	1.72	0.01	1.48	1280439.0	5.24	12722.0	0.05	0.0	17.43	0.03	0	4259146	7331
B152ISO_CCH1-seq	29168772.0	296.0	22805635.0	78.19	290.3	21630978.0	21243646.0	21410028.0	169988.0	18534.0	32428.0	0.26	0.01	1.91	0.01	1.5	752179.0	2.58	12107.0	0.04	0.0	19.14	0.06	0	5581355	17496
B24_CSE1-seq	20038263.0	295.0	15843844.0	79.07	289.84	15224425.0	15093134.0	15065897.0	121085.0	12138.0	25305.0	0.18	0.01	1.71	0.01	1.49	903715.0	4.51	7476.0	0.04	0.0	16.35	0.04	0	3275215	8013
B38_CSE1-seq	24551099.0	294.0	19928011.0	81.17	289.75	20471762.0	20290618.0	20248968.0	170834.0	18030.0	33930.0	0.18	0.01	1.81	0.01	1.49	1230511.0	5.01	11323.0	0.05	0.0	13.73	0.04	0	3371432	9822
