Well.names,Area,Drug
D07,643,20(S
D07,388,20(S
D09,290,20(S
D08,1174,20(S
D09,186,20(S
D09,7062,20(S
D07,214,20(S
D09,603,20(S
D09,275,20(S
D07,365,20(S
D08,105,20(S
D09,449,20(S
D09,207,20(S
D08,357,20(S
D09,387,20(S
D08,719,20(S
D09,458,20(S
D07,1184,20(S
D09,1564,20(S
D08,278,20(S
D07,755,20(S
D07,242,20(S
D08,92,20(S
D08,328,20(S
D07,599,20(S
D07,315,20(S
D09,469,20(S
D07,567,20(S
D07,271,20(S
D08,277,20(S
D07,351,20(S
D08,992,20(S
D08,324,20(S
D09,253,20(S
D08,985,20(S
D07,74,20(S
D07,893,20(S
D07,241,20(S
D09,1655,20(S
D07,534,20(S
D09,212,20(S
D08,1499,20(S
D09,308,20(S
D09,426,20(S
D07,84,20(S
D07,399,20(S
D08,912,20(S
D07,560,20(S
D07,677,20(S
D07,252,20(S
D09,216,20(S
D07,509,20(S
D07,200,20(S
D08,584,20(S
D07,240,20(S
D08,1008,20(S
D09,239,20(S
D08,1168,20(S
D07,537,20(S
D07,252,20(S
D07,282,20(S
D08,740,20(S
D07,636,20(S
D09,282,20(S
D09,851,20(S
D09,140,20(S
D09,478,20(S
D07,347,20(S
D07,358,20(S
D09,288,20(S
D08,100,20(S
D07,276,20(S
D07,364,20(S
D09,718,20(S
D07,571,20(S
D07,545,20(S
D08,106,20(S
D07,789,20(S
D08,110,20(S
D09,797,20(S
D09,96,20(S
D08,454,20(S
D09,129,20(S
D09,230,20(S
D09,455,20(S
D07,304,20(S
D09,197,20(S
D07,323,20(S
D09,53,20(S
D07,221,20(S
D09,94,20(S
D09,133,20(S
D07,850,20(S
D07,608,20(S
D07,976,20(S
D09,419,20(S
D09,617,20(S
D07,215,20(S
D07,2962,20(S
D07,166,20(S
D08,762,20(S
D08,208,20(S
D09,800,20(S
D07,165,20(S
D07,362,20(S
D09,217,20(S
D07,474,20(S
D09,428,20(S
D09,232,20(S
D07,246,20(S
D07,542,20(S
D09,416,20(S
D08,278,20(S
D07,343,20(S
D07,681,20(S
D09,674,20(S
D07,422,20(S
D07,747,20(S
D09,69,20(S
D09,259,20(S
D07,613,20(S
D07,70,20(S
D07,676,20(S
D07,631,20(S
D09,287,20(S
D07,284,20(S
D09,373,20(S
D09,1094,20(S
D07,1001,20(S
D09,106,20(S
D09,263,20(S
D07,205,20(S
D07,283,20(S
D09,71,20(S
D07,263,20(S
D09,292,20(S
D07,378,20(S
D08,4178,20(S
D09,181,20(S
D07,148,20(S
D07,135,20(S
D07,138,20(S
D09,612,20(S
D09,1200,20(S
D09,118,20(S
D08,186,20(S
D07,3508,20(S
D07,337,20(S
D07,182,20(S
D08,530,20(S
D09,168,20(S
D08,987,20(S
D07,321,20(S
D08,169,20(S
D08,1113,20(S
D08,75,20(S
D07,298,20(S
D08,454,20(S
D09,993,20(S
D08,150,20(S
D09,283,20(S
D08,386,20(S
D08,524,20(S
D07,1334,20(S
D08,564,20(S
D09,200,20(S
D08,503,20(S
D07,778,20(S
